name,degree,year
Gene Lockhart,0,1924
Frank Capra,0,1924
James Gleason,0,1924
George Bancroft,0,1924
Una Merkel,0,1924
William Wellman,0,1924
Greta Garbo,0,1924
John Gielgud,0,1924
Janet Gaynor,0,1924
Ted Wilde,0,1924
Cecil B. DeMille,19,1925
Adolphe Menjou,16,1925
Mary Pickford,15,1925
Wallace Beery,15,1925
Betty Compson,15,1925
Bessie Love,15,1925
Lillian Gish,14,1925
Gloria Swanson,14,1925
Donald Crisp,13,1925
Frank Lloyd,13,1925
Mary Astor,13,1925
Lionel Barrymore,12,1925
Irving Cummings,12,1925
Frank Borzage,11,1925
Richard Barthelmess,11,1925
Charles Chaplin,10,1925
Sam Wood,10,1925
Clarence Brown,10,1925
Lewis Stone,10,1925
Joan Crawford,10,1925
Erich von Stroheim,9,1925
Herbert Brenon,8,1925
King Vidor,8,1925
Victor Fleming,8,1925
Robert Z. Leonard,7,1925
Ernst Lubitsch,7,1925
Alice Brady,7,1925
Warner Baxter,7,1925
Norma Shearer,7,1925
Carole Lombard,7,1925
Louise Dresser,7,1925
Sessue Hayakawa,6,1925
Corinne Griffith,6,1925
Richard Dix,6,1925
Mervyn LeRoy,6,1925
John Ford,5,1925
W. S. Van Dyke,5,1925
Ronald Colman,5,1925
Victor McLaglen,5,1925
William Powell,5,1925
Clark Gable,5,1925
George Stevens,4,1925
Ethel Barrymore,4,1925
Emil Jannings,4,1925
Frank Morgan,4,1925
Clifton Webb,4,1925
William Dieterle,4,1925
Edna May Oliver,4,1925
Gary Cooper,4,1925
Jane Darwell,3,1925
Wesley Ruggles,3,1925
Marjorie Rambeau,3,1925
Joseph Schildkraut,3,1925
George Arliss,3,1925
Fredric March,3,1925
H. B. Warner,2,1925
May Robson,2,1925
Jeanne Eagels,2,1925
Loretta Young,2,1925
Billie Burke,2,1925
Victor Schertzinger,2,1925
Chester Morris,2,1925
Alfred Hitchcock,2,1925
Jean Arthur,2,1925
Marlene Dietrich,2,1925
Alfred Lunt,2,1925
Jack Oakie,2,1925
Lynn Fontanne,2,1925
Harry Beaumont,1,1925
Marie Dressler,1,1925
Robert Vaughn,1,1925
Edmund Gwenn,1,1925
Gladys Cooper,1,1925
William Holden,1,1925
Basil Rathbone,1,1925
Edward Norton,1,1925
Roland Young,1,1925
Jack Cardiff,1,1925
Gregory La Cava,1,1925
Elisabeth Bergner,1,1925
Helen Hayes,0,1925
Michael Curtiz,0,1925
George Miller,0,1925
Vittorio De Sica,0,1925
Elizabeth Taylor,0,1925
Sara Allgood,0,1925
Arthur Kennedy,0,1925
Sidney Franklin,0,1925
William A. Wellman,0,1925
Gladys George,0,1925
Peggy Wood,0,1925
Charles Boyer,0,1925
Norman Taurog,0,1925
Claude Rains,0,1925
Dame May Whitty,0,1925
Louis Calhern,0,1925
Stanley Holloway,0,1925
Leo McCarey,0,1925
Paul Lukas,0,1925
Gene Lockhart,0,1925
Frank Capra,0,1925
James Gleason,0,1925
George Bancroft,0,1925
Una Merkel,0,1925
William Wellman,0,1925
Greta Garbo,0,1925
John Gielgud,0,1925
Janet Gaynor,0,1925
Ted Wilde,0,1925
Walter Lang,0,1925
Lewis Milestone,0,1925
Brian Aherne,0,1925
Walter Brennan,0,1925
J. Carrol Naish,0,1925
Brian Donlevy,0,1925
Cecil B. DeMille,19,1926
Adolphe Menjou,18,1926
Bessie Love,17,1926
Gloria Swanson,16,1926
Betty Compson,16,1926
Mary Pickford,15,1926
Irving Cummings,15,1926
Frank Lloyd,15,1926
Wallace Beery,15,1926
Donald Crisp,14,1926
Lillian Gish,14,1926
Herbert Brenon,14,1926
Richard Barthelmess,14,1926
Mary Astor,14,1926
Lionel Barrymore,13,1926
Charles Chaplin,13,1926
Frank Borzage,12,1926
Sam Wood,12,1926
Clarence Brown,12,1926
Warner Baxter,11,1926
Lewis Stone,11,1926
Carole Lombard,11,1926
Joan Crawford,11,1926
Erich von Stroheim,9,1926
King Vidor,9,1926
Ronald Colman,9,1926
Victor Fleming,9,1926
Victor McLaglen,9,1926
William Powell,9,1926
Louise Dresser,9,1926
Clark Gable,8,1926
Robert Z. Leonard,7,1926
Ethel Barrymore,7,1926
Ernst Lubitsch,7,1926
Alice Brady,7,1926
Corinne Griffith,7,1926
Norma Shearer,7,1926
Richard Dix,7,1926
John Ford,6,1926
Sessue Hayakawa,6,1926
Mervyn LeRoy,6,1926
W. S. Van Dyke,5,1926
Joseph Schildkraut,5,1926
Janet Gaynor,5,1926
Gary Cooper,5,1926
George Stevens,4,1926
Wesley Ruggles,4,1926
Emil Jannings,4,1926
Frank Morgan,4,1926
Marjorie Rambeau,4,1926
Clifton Webb,4,1926
William Dieterle,4,1926
Roland Young,4,1926
Edna May Oliver,4,1926
Nancy Kelly,4,1926
Jane Darwell,3,1926
Victor Schertzinger,3,1926
George Arliss,3,1926
Fredric March,3,1926
Lewis Milestone,3,1926
Walter Pidgeon,3,1926
Harry Beaumont,2,1926
H. B. Warner,2,1926
May Robson,2,1926
Jeanne Eagels,2,1926
Loretta Young,2,1926
Billie Burke,2,1926
Chester Morris,2,1926
Alfred Hitchcock,2,1926
Jean Arthur,2,1926
Marlene Dietrich,2,1926
Alfred Lunt,2,1926
Jack Oakie,2,1926
Gregory La Cava,2,1926
Greta Garbo,2,1926
Lynn Fontanne,2,1926
Michael Curtiz,1,1926
Marie Dressler,1,1926
Robert Vaughn,1,1926
Edmund Gwenn,1,1926
Gladys Cooper,1,1926
William A. Wellman,1,1926
William Holden,1,1926
Basil Rathbone,1,1926
Edward Norton,1,1926
Jack Cardiff,1,1926
Elisabeth Bergner,1,1926
J. Carrol Naish,1,1926
Brian Donlevy,1,1926
John Wayne,1,1926
Howard Hawks,1,1926
Robert Ryan,1,1926
Helen Hayes,0,1926
George Miller,0,1926
Vittorio De Sica,0,1926
Elizabeth Taylor,0,1926
Sara Allgood,0,1926
Arthur Kennedy,0,1926
Sidney Franklin,0,1926
Gladys George,0,1926
Peggy Wood,0,1926
Charles Boyer,0,1926
Norman Taurog,0,1926
Claude Rains,0,1926
Dame May Whitty,0,1926
Louis Calhern,0,1926
Stanley Holloway,0,1926
Leo McCarey,0,1926
Paul Lukas,0,1926
Gene Lockhart,0,1926
Frank Capra,0,1926
James Gleason,0,1926
George Bancroft,0,1926
Una Merkel,0,1926
William Wellman,0,1926
John Gielgud,0,1926
Ted Wilde,0,1926
Walter Lang,0,1926
Brian Aherne,0,1926
Walter Brennan,0,1926
Jean Renoir,0,1926
Bill Murray,0,1926
William Wyler,0,1926
Cecil B. DeMille,19,1927
Bessie Love,18,1927
Adolphe Menjou,18,1927
Mary Astor,18,1927
Betty Compson,17,1927
Frank Lloyd,16,1927
Gloria Swanson,16,1927
Mary Pickford,15,1927
Donald Crisp,15,1927
Lillian Gish,15,1927
Herbert Brenon,15,1927
Irving Cummings,15,1927
Wallace Beery,15,1927
Richard Barthelmess,15,1927
Lionel Barrymore,13,1927
Frank Borzage,13,1927
Charles Chaplin,13,1927
Sam Wood,12,1927
Clarence Brown,12,1927
Victor Fleming,12,1927
Carole Lombard,12,1927
William Powell,12,1927
