source,target,year
Loretta Young,Herbert Brenon,1928
Lionel Barrymore,Warner Baxter,1928
Marie Dressler,King Vidor,1928
Wallace Beery,William A. Wellman,1928
Victor McLaglen,William Demarest,1928
Victor McLaglen,Howard Hawks,1928
William Demarest,Howard Hawks,1928
Gary Cooper,William A. Wellman,1928
Norma Shearer,Robert Z. Leonard,1928
Greta Garbo,Lewis Stone,1928
Greta Garbo,Clarence Brown,1928
Lewis Stone,Clarence Brown,1928
Humphrey Bogart,Helen Hayes,1928
Nancy Carroll,Paul Lukas,1928
Bessie Love,Frank Capra,1928
William Powell,Gregory La Cava,1928
Bessie Love,William Wyler,1928
Gary Cooper,Frank Lloyd,1928
Corinne Griffith,Louise Dresser,1928
Corinne Griffith,Lewis Milestone,1928
Louise Dresser,Lewis Milestone,1928
Warner Baxter,Paul Lukas,1928
Emil Jannings,Ruth Chatterton,1928
Emil Jannings,Jean Arthur,1928
Ruth Chatterton,Jean Arthur,1928
Joseph Schildkraut,May Robson,1928
Gary Cooper,William Powell,1928
Mary Astor,Irving Cummings,1928
Louise Dresser,Howard Hawks,1928
Nancy Carroll,Gary Cooper,1928
Nancy Carroll,Paul Lukas,1928
Gary Cooper,Paul Lukas,1928
Mary Astor,Irving Cummings,1928
William Dieterle,William Dieterle,1928
Donald Crisp,Donald Crisp,1928
Gary Cooper,Gregory La Cava,1928
William Powell,Victor Schertzinger,1928
Richard Dix,Jean Arthur,1928
Norma Shearer,Sam Wood,1928
Betty Compson,Walter Lang,1928
Wallace Beery,William Powell,1928
Richard Dix,Nancy Carroll,1928
Victor McLaglen,Donald Crisp,1928
Louise Dresser,Stuart Erwin,1928
Lionel Barrymore,Jack Oakie,1928
Jack Oakie,Wesley Ruggles,1928
Bessie Love,James Gleason,1929
Bessie Love,Harry Beaumont,1929
James Gleason,Harry Beaumont,1929
Maurice Chevalier,Ernst Lubitsch,1929
Ronald Colman,Ann Harding,1929
Ronald Colman,Wesley Ruggles,1929
Ann Harding,Wesley Ruggles,1929
Corinne Griffith,H. B. Warner,1929
Corinne Griffith,Marie Dressler,1929
Corinne Griffith,Frank Lloyd,1929
H. B. Warner,Marie Dressler,1929
H. B. Warner,Frank Lloyd,1929
Marie Dressler,Frank Lloyd,1929
Norma Shearer,Lewis Stone,1929
Victor McLaglen,John Wayne,1929
Victor McLaglen,John Ford,1929
John Wayne,John Ford,1929
Charles Laughton,Ray Milland,1929
Sara Allgood,Alfred Hitchcock,1929
Erich von Stroheim,Betty Compson,1929
Erich von Stroheim,Erich von Stroheim,1929
Betty Compson,Erich von Stroheim,1929
Gary Cooper,Victor Fleming,1929
Gary Cooper,Walter Huston,1929
Gary Cooper,Victor Fleming,1929
Walter Huston,Victor Fleming,1929
Betty Compson,Ethel Waters,1929
Stuart Erwin,John Wayne,1929
Stuart Erwin,Janet Gaynor,1929
Stuart Erwin,Victor McLaglen,1929
Janet Gaynor,Victor McLaglen,1929
Janet Gaynor,Frank Borzage,1929
Wallace Beery,Jack Oakie,1929
Wallace Beery,William A. Wellman,1929
Jack Oakie,William A. Wellman,1929
Walter Huston,Claudette Colbert,1929
John Wayne,John Ford,1929
Loretta Young,John Wayne,1929
Ann Harding,Fredric March,1929
Ruth Chatterton,Lewis Stone,1929
Ruth Chatterton,Lionel Barrymore,1929
Lewis Stone,Lionel Barrymore,1929
Charles Bickford,Cecil B. DeMille,1929
John Huston,William Wyler,1929
John Huston,William Wyler,1929
William Wyler,William Wyler,1929
Victor McLaglen,Robert Ryan,1929
Victor McLaglen,John Ford,1929
Robert Ryan,John Ford,1929
Warner Baxter,Irving Cummings,1929
Roland Young,Lionel Barrymore,1929
William Powell,Jean Arthur,1929
Victor McLaglen,Stuart Erwin,1929
Ronald Colman,Herbert Brenon,1929
Norma Shearer,Basil Rathbone,1929
Jean Arthur,Edna May Oliver,1929
Wallace Beery,Jean Arthur,1929
Louise Dresser,Michael Curtiz,1929
H. B. Warner,Michael Curtiz,1929
Nancy Carroll,Jack Oakie,1929
Greta Garbo,Lew Ayres,1929
Greta Garbo,Lewis Stone,1929
Fredric March,Jack Oakie,1929
Donald Crisp,Howard Hawks,1929
Carole Lombard,Gregory La Cava,1929
Richard Barthelmess,Frank Lloyd,1929
Emil Jannings,Gary Cooper,1929
Emil Jannings,Lewis Milestone,1929
Gary Cooper,Lewis Milestone,1929
Norma Shearer,Lewis Stone,1929
Norma Shearer,H. B. Warner,1929
Lewis Stone,H. B. Warner,1929
Chester Morris,Joseph L. Mankiewicz,1929
Chester Morris,William A. Wellman,1929
Joseph L. Mankiewicz,William A. Wellman,1929
Richard Barthelmess,Betty Compson,1929
Richard Barthelmess,Frank Lloyd,1929
Betty Compson,Frank Lloyd,1929
Jack Oakie,William A. Wellman,1929
Walter Huston,Brian Donlevy,1929
Walter Pidgeon,Roland Young,1929
Mary Astor,Dean Jagger,1929
Jeanne Eagels,Fredric March,1929
Richard Dix,Victor Schertzinger,1929
Mary Astor,Stuart Erwin,1929
Basil Rathbone,Roland Young,1929
Richard Barthelmess,Betty Compson,1929
Richard Barthelmess,Loretta Young,1929
Betty Compson,Loretta Young,1929
Nancy Carroll,Paul Lukas,1929
William Powell,Jean Arthur,1929
Lewis Stone,Peggy Wood,1929
Lewis Stone,Clarence Brown,1929
Peggy Wood,Clarence Brown,1929
Louise Dresser,Irving Cummings,1929
Adolphe Menjou,Mischa Auer,1929
William Gargan,Norman Taurog,1929
Ruth Chatterton,Victor Schertzinger,1929
Ruth Chatterton,H. B. Warner,1929
Fredric March,Jack Oakie,1929
Fredric March,Ruth Chatterton,1929
Jack Oakie,Ruth Chatterton,1929
Adolphe Menjou,Victor Schertzinger,1929
Ruth Chatterton,William Powell,1929
Nancy Carroll,Paul Lukas,1929
Nancy Carroll,Jack Oakie,1929
Nancy Carroll,Stuart Erwin,1929
Jack Oakie,Stuart Erwin,1929
Jean Arthur,Paul Lukas,1929
Richard Barthelmess,Frank Lloyd,1929
William Dieterle,William Dieterle,1929
William Dieterle,William Dieterle,1929
