name,year
H. B. Warner,1931
Elsa Lanchester,1931
Herbert Brenon,1931
Elisabeth Bergner,1931
W. S. Van Dyke,1931
Ruth Chatterton,1931
Bessie Love,1931
Irving Cummings,1931
Betty Compson,1931
Bing Crosby,1931
Gregory La Cava,1931
William Wyler,1931
Robert Siodmak,1931
Mickey Rooney,1931
Victor Fleming,1931
Marie Dressler,1931
Walter Lang,1931
Jean Arthur,1931
Walter Brennan,1931
Charles Boyer,1931
Louise Dresser,1931
Merle Oberon,1931
Anatole Litvak,1931
May Robson,1931
Greta Garbo,1932
Joan Crawford,1932
Wallace Beery,1932
Lionel Barrymore,1932
Lewis Stone,1932
Maurice Chevalier,1932
Roland Young,1932
George Cukor,1932
Ernst Lubitsch,1932
Marlene Dietrich,1932
Paul Muni,1932
Mervyn LeRoy,1932
Howard Hawks,1932
Miriam Hopkins,1932
Irene Dunne,1932
Chester Morris,1932
Charles Boyer,1932
Una Merkel,1932
May Robson,1932
Marie Dressler,1932
Clarence Brown,1932
Billie Burke,1932
Katharine Hepburn,1932
Loretta Young,1932
J. Carrol Naish,1932
William A. Wellman,1932
W. S. Van Dyke,1932
Cary Grant,1932
William Gargan,1932
Beulah Bondi,1932
Walter Huston,1932
Clark Gable,1932
Mary Astor,1932
Donald Crisp,1932
Victor Fleming,1932
Melvyn Douglas,1932
Charles Laughton,1932
Gloria Stuart,1932
Raymond Massey,1932
Jean Renoir,1932
Joan Blondell,1932
Bette Davis,1932
Humphrey Bogart,1932
Louis Calhern,1932
Gary Cooper,1932
Jack Oakie,1932
