index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
33776,2004,ACTOR IN A SUPPORTING ROLE,Ken Watanabe,The Last Samurai,False,nm0913822,1959,0,"actor,producer,director",45,True,2021,62,M
34461,2005,ACTOR IN A LEADING ROLE,Don Cheadle,Hotel Rwanda,False,nm0000332,1964,0,"actor,producer,soundtrack",41,True,2021,57,M
34462,2005,ACTOR IN A LEADING ROLE,Jamie Foxx,Ray,True,nm0004937,1967,0,"actor,producer,writer",38,True,2021,54,M
34463,2005,ACTOR IN A SUPPORTING ROLE,Jamie Foxx,Collateral,False,nm0004937,1967,0,"actor,producer,writer",38,True,2021,54,M
34464,2005,ACTOR IN A SUPPORTING ROLE,Alan Alda,The Aviator,False,nm0000257,1936,0,"actor,miscellaneous,soundtrack",69,True,2021,85,M
34465,2005,ACTOR IN A SUPPORTING ROLE,Thomas Haden Church,Sideways,False,nm0002006,1960,0,"actor,miscellaneous,producer",45,True,2021,61,M
34466,2005,ACTOR IN A SUPPORTING ROLE,Clive Owen,Closer,False,nm0654110,1964,0,"actor,producer,soundtrack",41,True,2021,57,M
34553,2006,ACTOR IN A LEADING ROLE,Philip Seymour Hoffman,Capote,True,nm0000450,1967,2014,"actor,producer,soundtrack",39,False,2021,0,M
34554,2008,ACTOR IN A SUPPORTING ROLE,Philip Seymour Hoffman,Charlie Wilson's War,False,nm0000450,1967,2014,"actor,producer,soundtrack",41,False,2021,0,M
34555,2009,ACTOR IN A SUPPORTING ROLE,Philip Seymour Hoffman,Doubt,False,nm0000450,1967,2014,"actor,producer,soundtrack",42,False,2021,0,M
34556,2013,ACTOR IN A SUPPORTING ROLE,Philip Seymour Hoffman,The Master,False,nm0000450,1967,2014,"actor,producer,soundtrack",46,False,2021,0,M
34557,2006,ACTOR IN A LEADING ROLE,Terrence Howard,Hustle & Flow,False,nm0005024,1969,0,"actor,soundtrack,producer",37,True,2021,52,M
34559,2006,ACTOR IN A LEADING ROLE,Heath Ledger,Brokeback Mountain,False,nm0005132,1979,2008,"actor,director,soundtrack",27,False,2021,0,M
34560,2009,ACTOR IN A SUPPORTING ROLE,Heath Ledger,The Dark Knight,True,nm0005132,1979,2008,"actor,director,soundtrack",30,False,2021,0,M
34561,2006,ACTOR IN A LEADING ROLE,David Strathairn,"Good Night, and Good Luck.",False,nm0000657,1949,0,"actor,producer,soundtrack",57,True,2021,72,M
34562,2006,ACTOR IN A SUPPORTING ROLE,George Clooney,Syriana,True,nm0000123,1961,0,"actor,producer,director",45,True,2021,60,M
34564,2008,ACTOR IN A LEADING ROLE,George Clooney,Michael Clayton,False,nm0000123,1961,0,"actor,producer,director",47,True,2021,60,M
34565,2010,ACTOR IN A LEADING ROLE,George Clooney,Up in the Air,False,nm0000123,1961,0,"actor,producer,director",49,True,2021,60,M
34566,2012,ACTOR IN A LEADING ROLE,George Clooney,The Descendants,False,nm0000123,1961,0,"actor,producer,director",51,True,2021,60,M
34567,2006,ACTOR IN A SUPPORTING ROLE,Matt Dillon,Crash,False,nm0000369,1964,0,"actor,art_department,director",42,True,2021,57,M
34577,2006,ACTOR IN A SUPPORTING ROLE,Paul Giamatti,Cinderella Man,False,nm0316079,1967,0,"actor,producer,soundtrack",39,True,2021,54,M
34578,2006,ACTOR IN A SUPPORTING ROLE,Jake Gyllenhaal,Brokeback Mountain,False,nm0350453,1980,0,"actor,producer,camera_department",26,True,2021,41,M
